question,expected_answer,generated_answer,correct
"What is Machine Learning, and how is it different from traditional programming?","Machine learning is about extracting knowledge from data. Unlike traditional hand-coded programming, where humans explicitly write if/else rules, machine learning algorithms learn patterns from examples and use them to make predictions on new data.",I don't know based on the provided document.,1
What are the three main types of Machine Learning?,"The book explicitly discusses two major types: supervised learning and unsupervised learning. Supervised learning uses input/output pairs, while unsupervised learning works with input data without known outputs. The book also notes that there are many other kinds of machine learning, so it does not present a fixed list of exactly three types.",I don't know based on the provided document.,0
What is the difference between supervised and unsupervised learning?,"Supervised learning learns from input/output pairs where the desired output is known. Unsupervised learning uses only the input data, with no known output provided, and includes tasks such as clustering.",I don't know based on the provided document.,0
What is the difference between classification and regression?,"Classification predicts a class label from a predefined list of possibilities, such as spam or not spam. Regression predicts a continuous numerical value, such as annual income or crop yield.",I don't know based on the provided document.,0
What is a feature in a Machine Learning dataset?,"A feature is a property or characteristic that describes a data point. In a dataset, rows represent samples and columns represent features.",I don't know based on the provided document.,0
What is a target variable (label)?,"A target variable, or label, is the desired output that the model is trained to predict. For example, in the Iris dataset, the flower species is the label.",I don't know based on the provided document.,0
What is the purpose of splitting data into training and testing sets?,The dataset is split so the model can be trained on one portion and evaluated on previously unseen data. This helps determine whether the model generalizes beyond the training data.,I don't know based on the provided document.,0
"What is overfitting, and how can it be reduced?","Overfitting occurs when a model fits the training data too closely and therefore performs poorly on new data. It can be reduced by using an appropriately simple model, controlling model complexity, collecting more varied data, or using techniques such as regularization and pruning.",I don't know based on the provided document.,0
What is underfitting?,"Underfitting occurs when a model is too simple to capture important patterns in the data, so it performs poorly even on the training data.",I don't know based on the provided document.,0
What is the difference between training data and test data?,"Training data is used to build or fit the model. Test data is held out and used to evaluate how well the trained model generalizes to new, previously unseen data.",I don't know based on the provided document.,0
What is Linear Regression used for?,"Linear Regression is a linear model used for regression problems, where the output is a continuous numerical value. Its prediction is a linear function of the input features.","According to the document, Linear Regression is used for finding the parameters w and b that minimize the mean squared error between predictions and the true regression targets, y, on the training set.",0
What is Logistic Regression used for?,"Logistic Regression is a classification algorithm. Despite its name, the book explicitly distinguishes it from LinearRegression and uses it for classification, including binary classification.","According to the document, Logistic Regression is used for classification and makes it relatively easy to understand how a prediction is made, using formulas.",1
How does a Decision Tree make predictions?,"A Decision Tree makes predictions by traversing a hierarchy of tests from the root to a leaf. For classification, it predicts the majority target in the reached region; for regression, it predicts the mean target of the training points in that leaf.",I don't know based on the provided document.,0
"What is Random Forest, and why is it usually more robust than a single Decision Tree?","A Random Forest is a collection of decision trees. The trees are made different through random choices of data points and features, and their results are combined. This can reduce the overfitting of individual decision trees while retaining their predictive power.","Random Forest is an ensemble learning method for classification and regression problems that produces several decision trees on the training data, but with a different subset of features to prevent overfitting. It is usually more robust than a single Decision Tree because it combines the predictions of multiple trees, which helps to reduce overfitting and improves the overall accuracy of the model (Page 3).",1
What is K-Nearest Neighbors (KNN)?,"K-Nearest Neighbors makes predictions for a new data point by considering its closest training examples. For classification, it can use the majority class among the k nearest neighbors.",I don't know based on the provided document.,0
"What is clustering, and how does K-Means clustering work?","Clustering partitions a dataset into groups called clusters so that points within a cluster are similar and points in different clusters are different. K-Means alternates between assigning each point to its closest cluster center and setting each center to the mean of the points assigned to it, stopping when assignments no longer change.",I don't know based on the provided document.,0
"What is cross-validation, and why is it useful?","Cross-validation evaluates how well a model or algorithm is likely to generalize by repeatedly splitting the data into training and validation portions. It provides multiple performance estimates, uses the data more effectively than a single split, and gives information about sensitivity to the particular training split.",I don't know based on the provided document.,0
"What are accuracy, precision, recall, and F1-score?",Accuracy is the proportion of all predictions that are correct: (TP + TN) / (TP + TN + FP + FN). Precision measures how many predicted positives are actually positive: TP / (TP + FP). Recall measures how many actual positive samples are captured: TP / (TP + FN). F1-score is the harmonic mean of precision and recall: 2 × precision × recall / (precision + recall).,I don't know based on the provided document.,0
"What is feature scaling, and why is it important for algorithms such as KNN and SVM?",Feature scaling transforms features so that their numerical scales are more comparable. The book shows that scaling can have a significant effect on models such as SVMs and emphasizes applying the same learned transformation to both training and test data.,"Feature scaling is the process of scaling numeric features of a dataset to a common range, usually between 0 and 1, to prevent features with large ranges from dominating the model. This is important for algorithms such as KNN and SVM because they are sensitive to the scale of the features. If one feature is much larger than the others, it can dominate the model, leading to poor performance. By scaling features, we can ensure that all features are treated equally, resulting in more accurate predictions. (Page not specified, as the context does not provide a specific page number.)",1
What is the difference between a model's parameters and hyperparameters?,"The book uses the term parameters for values specified when creating an estimator, such as n_neighbors in KNeighborsClassifier, and discusses tuning model parameters with grid search. It does not explicitly define a separate parameter-versus-hyperparameter distinction, so that distinction is not stated directly in the source.",I don't know based on the provided document.,0
